"","x","vol","protein","absorbance"
"1157",579,13.8858858858859,"a254",-0.00486296845260525
"1158",579,13.8858858858859,"a280",-0.218672362233087
"1159",580,13.9099099099099,"a254",0.187359918069909
"1160",580,13.9099099099099,"a280",-0.142184691523391
"1161",581,13.9339339339339,"a254",-0.123716610353992
"1162",581,13.9339339339339,"a280",0.151088635501443
"1163",582,13.957957957958,"a254",0.0730557206075687
"1164",582,13.957957957958,"a280",-0.305469637020477
"1165",583,13.981981981982,"a254",0.0203990952793562
"1166",583,13.981981981982,"a280",0.0740332869987097
"1167",584,14.006006006006,"a254",0.09652208366156
"1168",584,14.006006006006,"a280",0.095265969905929
"1169",585,14.03003003003,"a254",-0.00349964482837329
"1170",585,14.03003003003,"a280",0.239708809301267
"1171",586,14.0540540540541,"a254",0.177707282967044
"1172",586,14.0540540540541,"a280",-0.387761852030772
"1173",587,14.0780780780781,"a254",-0.079866774276989
"1174",587,14.0780780780781,"a280",0.322843679596269
"1175",588,14.1021021021021,"a254",-0.0447023970693097
"1176",588,14.1021021021021,"a280",-0.109743978940723
"1177",589,14.1261261261261,"a254",-0.146981206138231
"1178",589,14.1261261261261,"a280",-0.172257750130871
"1179",590,14.1501501501502,"a254",-0.176882593327885
"1180",590,14.1501501501502,"a280",-0.259909570464322
"1181",591,14.1741741741742,"a254",0.149330092755696
"1182",591,14.1741741741742,"a280",-0.113491357587436
"1183",592,14.1981981981982,"a254",-0.00479906434499824
"1184",592,14.1981981981982,"a280",0.226857027397824
"1185",593,14.2222222222222,"a254",-0.188289604694732
"1186",593,14.2222222222222,"a280",0.390478464487908
"1187",594,14.2462462462462,"a254",-0.140152565701952
"1188",594,14.2462462462462,"a280",0.116630048780249
"1189",595,14.2702702702703,"a254",0.132939490774316
"1190",595,14.2702702702703,"a280",0.374684231379114
"1191",596,14.2942942942943,"a254",0.0126611586914068
"1192",596,14.2942942942943,"a280",0.470777291574318
"1193",597,14.3183183183183,"a254",-0.0874263430735964
"1194",597,14.3183183183183,"a280",0.853913208945073
"1195",598,14.3423423423423,"a254",0.325720865299969
"1196",598,14.3423423423423,"a280",0.969721758677109
"1197",599,14.3663663663664,"a254",0.184162671478141
"1198",599,14.3663663663664,"a280",1.72986831167059
"1199",600,14.3903903903904,"a254",0.650211836692118
"1200",600,14.3903903903904,"a280",2.06684945293532
"1201",601,14.4144144144144,"a254",0.918214812667964
"1202",601,14.4144144144144,"a280",2.80654347100738
"1203",602,14.4384384384384,"a254",1.61002978310539
"1204",602,14.4384384384384,"a280",3.60856647872083
"1205",603,14.4624624624625,"a254",2.56452409502795
"1206",603,14.4624624624625,"a280",4.83376449254635
"1207",604,14.4864864864865,"a254",3.95002550316434
"1208",604,14.4864864864865,"a280",5.86049970055553
"1209",605,14.5105105105105,"a254",5.78385753863003
"1210",605,14.5105105105105,"a280",7.79711950403492
"1211",606,14.5345345345345,"a254",8.69994916933273
"1212",606,14.5345345345345,"a280",9.6210072283361
"1213",607,14.5585585585586,"a254",12.1947655538233
"1214",607,14.5585585585586,"a280",11.6501575483968
"1215",608,14.5825825825826,"a254",17.2664300235444
"1216",608,14.5825825825826,"a280",13.7138319181159
"1217",609,14.6066066066066,"a254",23.2151922982135
"1218",609,14.6066066066066,"a280",16.3109861901383
"1219",610,14.6306306306306,"a254",30.7482936660673
"1220",610,14.6306306306306,"a280",19.2199669521719
"1221",611,14.6546546546547,"a254",39.1616722775118
"1222",611,14.6546546546547,"a280",21.2146128799589
"1223",612,14.6786786786787,"a254",48.3962161316443
"1224",612,14.6786786786787,"a280",24.349966773648
"1225",613,14.7027027027027,"a254",58.1258383316918
